Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.61,346.4265846194835,1875.9593556118493,1627.4382435654195,1408.8298114529352,1437.9140590573918,1482.3554764536038,24.56474706547769,36413.687340208446,-364.2474679187556,883.353881729789,519.1064138110335,1080.36415506396,1599.4705688749934,1599.4705688749934,8.554739706398555,30.846246167416055
0.62,346.5103556582959,1879.3410687464675,1630.2752580162291,1411.2806795799154,1440.439058347972,1484.9447941453946,24.58526047079512,36507.75454881576,-352.3633123320043,852.148884533532,499.78557220152777,1036.5905373557791,1536.3761095573068,1536.3761095573068,8.201276475924976,30.846239313440893
0.63,346.5906459975259,1882.5826329784268,1632.9944416303601,1413.6297357018993,1442.859230994365,1487.4260245004753,24.604978641454718,36598.0855635781,-340.57122211589706,821.4342486445796,480.86302652868255,994.0720893586969,1474.9351158873794,1474.9351158873794,7.858582793343524,30.846216689328905
0.64,346.6675632498019,1885.6883473975915,1635.5994329704206,1415.8801254991447,1445.1778097336296,1489.802550595654,24.62392109029814,36684.78044599229,-328.89532983041244,791.2532419234359,462.35791209302346,952.8147275396321,1415.1726396326555,1415.1726396326555,7.526639398609663,30.846180199793327
0.65,346.7412142198905,1888.662482251935,1638.093843723903,1418.0349712405866,1447.398003861799,1492.0777250641888,24.64210762586379,36767.93988718574,-317.3580311268685,761.6363105597947,444.2782794329261,912.8130955228348,1357.091374955761,1357.091374955761,7.205341274067036,30.8461315628748
0.66,346.8117053447989,1891.5092965027611,1640.4812735818673,1420.0973846477275,1449.5230124486286,1494.2548879777069,24.659558303051295,36847.66552970564,-305.98018886692705,732.6251707194626,426.6449818525356,874.065064582812,1300.7100464353475,1300.7100464353475,6.894612226253036,30.846072429322113
0.67,346.87914142243596,1894.2329862719985,1642.7652671546446,1422.070429686031,1451.5559859618531,1496.3373228903065,24.676293608234264,36924.05911660044,-294.78061951323383,704.2427487751902,409.46212926195636,836.5649570933131,1246.0270863552694,1246.0270863552694,6.594351239715294,30.846004248729823
0.68,346.9436266954116,1896.8377284053543,1644.9493506527533,1423.957154262509,1453.5000588894789,1498.3282939762155,24.692334016546848,36997.22270130351,-283.7765643883714,676.5173898935917,392.7408255052203,800.3010760037896,1193.04190150901,1193.04190150901,6.304413087012859,30.84592838884879
0.6900000000000001,347.0052638650093,1899.3276404514208,1647.0369984665622,1425.7605613651263,1455.3583199671793,1500.23101464826,24.70770029391737,37067.25828156877,-272.98337951111586,649.4733773857436,376.4899978746277,765.2660719986313,1141.756069873259,1141.756069873259,6.024689892403134,30.845846097425802
0.7000000000000001,347.06415387352376,1901.7067716725019,1649.0316257693014,1427.4836026828457,1457.133805568839,1502.0486393888914,24.722413140656922,37134.26702033378,-262.4146319540721,623.1240267523918,360.70939479831975,731.4433992076089,1092.1527940059286,1092.1527940059286,5.755004423378686,30.845758476641535
