Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.72,347.3299731103952,-83999.99999,-49559.13538107727,-46284.65796361316,-47663.62071261903,93.36372249110637,-4450053.057134313,-9795.647881396702,14674.931611104399,-302.23117494322605,-608.5836113543248,-910.8147862975509,910.8147862975509,4.424282011274641,84.10392101803714
0.73,347.37314180332095,-83999.99999,-49551.457336941836,-46281.39800400831,-47657.0525380885,93.37547023010771,-4449999.690524962,-9366.004475660557,14009.719779891208,-288.5074128401819,-579.8467493833617,-868.3541622235437,868.3541622235437,4.210998018241355,84.11008941419388
0.74,347.41422369354564,-83999.99999,-49544.150003292496,-46278.29560792217,-47650.7900685445,93.38667448108131,-4449948.8208975075,-8950.625910291219,13368.873779796308,-275.2887786949516,-552.2792065542496,-827.5679852492012,827.5679852492012,4.006829585402724,84.11598030277528
0.75,347.4533074761665,-83999.99999,-49537.19766936271,-46275.34408095462,-47644.821393211496,93.3973560985694,-4449900.349914512,-8549.4697846859,12751.94415040804,-262.5643237812348,-525.8487512540969,-788.4130750353318,788.4130750353318,3.811420816770577,84.12160358040117
0.76,347.49048081206286,-83999.99999,-49530.58480154748,-46272.53680643656,-47639.13470293124,93.40753578171169,-4449854.179373832,-8162.443124787737,12158.644563405604,-250.32978393215186,-500.52492780001944,-750.8547117321713,750.8547117321713,3.6245864525318314,84.12696909312479
0.77,347.52582676198983,-83999.99999,-49524.29667830019,-46269.867514750884,-47633.718642381864,93.4172334837339,-4449810.216113875,-7789.416668473872,11588.445827349442,-238.5726942665517,-476.2766773851448,-714.8493716516965,714.8493716516965,3.4459776663234263,84.1320864616275
0.78,347.5594267964018,-83999.99999,-49518.31885526495,-46267.330056064995,-47628.56201763318,93.42646888677596,-4449768.367462286,-7430.218390012243,11040.89510329293,-227.28402241124797,-453.07027165444805,-680.354294065696,680.354294065696,3.2753380206515033,84.13696522166033
0.79,347.59135944973997,-83999.99999,-49512.63740516271,-46264.918501983484,-47623.65395697398,93.43526114143896,-4449728.543979387,-7084.6443948672095,10515.507612186428,-216.45404414245516,-430.87498948023705,-647.3290336226922,647.3290336226922,3.112413576818084,84.14161470672444
0.8,347.62169955061194,-83999.99999,-49507.239055244216,-46262.62720371117,-47618.98398765926,93.4436287187362,-4449690.659706276,-6752.464312594474,10011.672554080886,-206.0688475176712,-409.65669186754695,-615.7255393852181,615.7255393852181,2.9568693718036987,84.1460440113238
0.81,347.65052089622156,-83999.99999,-49502.11071187546,-46260.45059010279,-47614.54176287587,93.45158988224229,-4449654.629255174,-6433.414001388259,9528.902600806665,-196.1195054146049,-389.38307379276944,-585.5025792073743,585.5025792073743,2.808496332132203,84.15026213611475
