Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.5,345.7253377003928,-83999.99999,-49844.19376429976,-46405.815991186435,-47900.389543266996,92.94269620596742,-4451991.353467363,-22066.964421565903,35023.64767069896,-722.1052586628648,-1562.0592581231467,-2284.1645167860115,2284.1645167860115,11.72864014178401,83.88753779637547
0.51,345.8402492577261,-83999.99999,-49823.80236274438,-46397.14079307482,-47884.001581322176,92.97169577669608,-4451856.827589519,-21423.758328186508,33857.00654279923,-698.0230354214177,-1502.275897917213,-2200.2989333386304,2200.2989333386304,11.255832613210666,83.90203285966138
0.52,345.9504980074721,-83999.99999,-49804.23516347735,-46388.81743975251,-47868.20873275541,92.99966306146669,-4451727.283502211,-20778.914488851868,32703.17710007168,-674.1974541630859,-1443.9307254771932,-2118.128179640279,2118.128179640279,10.79607345761486,83.91606289874603
0.53,346.0562146080078,-83999.99999,-49785.469371866,-46380.836087561154,-47852.999981723624,93.0266152450279,-4451602.617620131,-20133.98938659768,31563.832730492904,-650.6664540716954,-1387.0294569957177,-2037.6959110674131,2037.6959110674131,10.349442787812695,83.92963091592898
0.54,346.1575312037164,-83999.99999,-49767.48189887959,-46373.18677914023,-47838.36363652885,93.05257089562886,-4451482.723818975,-19490.4928840011,30440.57121027408,-627.4660295370518,-1331.591642145831,-1959.0576716828828,1959.0576716828828,9.91600882512005,83.94274092575165
0.55,346.25457793798824,-83999.99999,-49750.24998160446,-46365.85970675141,-47824.28765139774,93.07754935892574,-4451367.494428435,-18849.882786027592,29334.53236866622,-604.6169845012666,-1277.6219956376206,-1882.2389801388872,1882.2389801388872,9.495506471841715,83.95539783190664
0.56,346.34748571755483,-83999.99999,-49733.75069401061,-46358.84500364005,-47810.759714647334,93.10157052763749,-4451256.817553168,-18213.571318491988,28247.439411433425,-582.1610022670199,-1225.1319139381696,-1807.2929162051896,1807.2929162051896,9.088176529102237,83.96760691984487
0.5700000000000001,346.43638455671254,-83999.99999,-49717.96124237348,-46352.13286910854,-47797.76691506636,93.1246555730813,-4451150.581127975,-17582.881808237704,27180.252764291945,-560.1147019184434,-1174.130167235027,-1734.2448691534705,1734.2448691534705,8.693722574321358,83.97937464891449
0.58,346.5214031639148,-83999.99999,-49702.85904018415,-46345.71359979651,-47785.296278066664,93.14682583338356,-4451048.669809707,-16959.078643298726,26134.25380840769,-538.5067312375913,-1124.6162684796095,-1663.1229997172009,1663.1229997172009,8.312143732006659,83.99070776459385
0.59,346.6026706435878,-83999.99999,-49688.42140725225,-46339.57746125036,-47773.33436196353,93.1681036354257,-4450950.966845261,-16343.335127727152,25110.5997483932,-517.3629675524758,-1076.598842439973,-1593.9618099924487,1593.9618099924487,7.943420077669017,84.00161378700533
0.6,346.68031334775327,-83999.99999,-49674.62613035557,-46333.714925703774,-47761.86756500343,93.18851171707313,-4450857.355210617,-15736.734346629097,24109.99269688751,-496.694816346679,-1030.0717275497952,-1526.766543896474,1526.766543896474,7.587231173051849,84.01210087065664
0.61,346.7544577935768,-83999.99999,-49661.45094626778,-46328.116451850365,-47750.882127921046,93.20807316078735,-4450767.714871398,-15140.28080637849,23133.58237853127,-476.53068838218456,-985.0334307525961,-1461.5641191347806,1461.5641191347806,7.243678269751196,84.02217743010229
0.62,346.825228047251,-83999.99999,-49648.874007852,-46322.772682438284,-47740.364035193925,93.22681167989482,-4450681.9274386475,-14554.869832929064,22181.843182326047,-456.8771479060455,-941.4782902761226,-1398.3554381821682,1398.3554381821682,6.9124103646441695,84.03185263933443
